"OXS TIERS","","","","","","","","","","OBTENCIÓN TIER POR STAKING","","","","",""
"Token $","0.15","","","","","","","","","Tabla de Conversion TIER","","","","",""
"","","","Nombres","Tokens OXS en STK","Cash/0,15$","","","","","Tiempo/S","Conversion","","","",""
"","","Tier 1","Elevator","2000","300","","","","","1","0.0100000000000","","","Formula de conversion",""
"","","Tier 2","Premium Elevator","10000","1500","","","","","2","0.0104572496380","","","",""
"","","Tier 3","VIP ELEVATOR","34000","5100","","","","","3","0.0109354069992","","","",""
"","","","","","","","","","","4","0.0114354280885","","","",""
"","","","","","","","","","","5","0.0119583126239","","","",""
"","","","","","","","","","","6","0.0125051060358","","","",""
"","","","","","","","","","","7","0.0130769015567","","","",""
"","","RENTAL/0,22$","","","","","","","","8","0.0136748424070","","","",""
"","","","Categorias","Euros","","","","","","9","0.0143001240812","","","",""
"","","","Tier 1","880","","","","","","10","0.0149539967372","","","",""
"","","","Tier 2","1700","","","","","","11","0.0156377676967","","","",""
"","","","Tier 3","6160","","","","","","12","0.0163528040587","","","",""
"","","","","","","","","","","13","0.0171005354324","","","",""
"","","","","","","","","","","14","0.0178824567961","","","",""
"","","","","","","","","","","15","0.0187001314858","","","",""
"","","","","","","","","","","16","0.0195551943212","","","",""
"","","","","","","","","","","17","0.0204493548737","","","",""
"","","","","","","","","","","18","0.0213844008852","","","",""
"","","","","","","","","","","19","0.0223622018417","","","",""
"","","","","","","","","","","20","0.0233847127115","","","",""
"","","","","","","","","","","21","0.0244539778538","","","",""
"","","","","","","","","","","22","0.0255721351061","","","",""
"","","","","","","","","","","23","0.0267414200583","","","",""
"","","","","","","","","","","24","0.0279641705225","","","",""
"","","","","","","","","","","25","0.0292428312075","","","",""
"","","","","","","","","","","26","0.0305799586061","","","",""
"","","","","","","","","","","27","0.0319782261065","","","",""
"","","","","","","","","","","28","0.0334404293378","","","",""
"","","","","","","","","","","29","0.0349694917589","","","",""
"","","","","","","","","","","30","0.0365684705039","","","",""
"","","","","","","","","","","31","0.0382405624941","","","",""
"","","","","","","","","","","32","0.0399891108301","","","",""
"","","","","","","","","","","33","0.0418176114754","","","",""
"","","","","","","","","","","34","0.0437297202465","","","",""
"","","","","","","","","","","35","0.0457292601221","","","",""
"","","","","","","","","","","36","0.0478202288860","","","",""
"","","","","","","","","","","37","0.0500068071210","","","",""
"","","","","","","","","","","38","0.0522933665666","","","",""
"","","","","","","","","","","39","0.0546844788601","","","",""
"","","","","","","","","","","40","0.0571849246768","","","",""
"","","","","","","","","","","41","0.0597997032878","","","",""
"","","","","","","","","","","42","0.0625340425562","","","",""
"","","","","","","","","","","43","0.0653934093887","","","",""
"","","","","","","","","","","44","0.0683835206662","","","",""
"","","","","","","","","","","45","0.0715103546735","","","",""
"","","","","","","","","","","46","0.0747801630527","","","",""
"","","","","","","","","","","47","0.0781994833017","","","",""
"","","","","","","","","","","48","0.0817751518452","","","",""
"","","","","","","","","","","49","0.0855143177036","","","",""
"","","","","","","","","","","50","0.0894244567854","","","",""
"","","","","","","","","","","51","0.0935133868353","","","",""
"","","","","","","","","","","52","0.0977892830636","","","",""
"","","","","","","","","","","53","0.1022606944923","","","",""
"","","","","","","","","","","54","0.1069365610467","","","",""
"","","","","","","","","","","55","0.1118262314300","","","",""
"","","","","","","","","","","56","0.1169394818147","","","",""
"","","","","","","","","","","57","0.1222865353881","","","",""
"","","","","","","","","","","58","0.1278780827926","","","",""
"","","","","","","","","","","59","0.1337253034998","","","",""
"","","","","","","","","","","60","0.1398398881623","","","",""
"","","","","","","","","","","61","0.1462340619871","","","",""
"","","","","","","","","","","62","0.1529206091786","","","",""
"","","","","","","","","","","63","0.1599128984984","","","",""
"","","","","","","","","","","64","0.1672249099942","","","",""
